p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
2.1005874784842226e-87,1.0403269455149438,0.933,0.18,4.4509348081602194e-83,1,Nrg3
6.497209201165719e-85,0.9229529763538051,0.939,0.195,1.3766936576350042e-80,1,Anks1b
2.6848628102488786e-84,0.897585887802659,0.931,0.18,5.6889558086363486e-80,1,Ank3
1.0310349859398507e-80,1.207714325237273,0.921,0.176,2.1846600317079496e-76,1,Cntnap2
1.0335178907888255e-75,0.9530223411116471,0.931,0.166,2.1899210587924426e-71,1,Lrrtm4
4.457015539058384e-74,1.1162630530498987,0.893,0.176,9.44397022571081e-70,1,Snhg11
4.2496987882462044e-73,0.9307792127922954,0.879,0.112,9.004686762414882e-69,1,Rims1
3.552886818912076e-70,0.9570262595453931,0.868,0.122,7.528211880592798e-66,1,Lrfn5
3.8345765813856004e-70,0.8048978803876164,0.917,0.2,8.125084318297948e-66,1,Dlg2
1.1396548974529478e-67,0.9866935681280072,0.943,0.463,2.414814762213051e-63,1,Meg3
2.126155902614046e-67,1.0196003478993476,0.927,0.244,4.505111742048902e-63,1,Tenm2
1.1547052322041753e-65,0.7151925335679692,0.905,0.137,2.4467049165174272e-61,1,Dscam
7.954844699904893e-65,0.8140678873362335,0.891,0.19,1.6855520434628476e-60,1,Lrrc7
7.096255045155183e-64,0.7759601684275317,0.887,0.156,1.5036254815179318e-59,1,Xkr4
1.16553187515375e-62,1.0272618910896973,0.875,0.166,2.469645490263281e-58,1,Sgcz
2.3206017382231348e-62,0.8444043283324577,0.893,0.156,4.917123023121e-58,1,Nrg1
1.329195143178291e-60,0.77102307502296,0.87,0.176,2.8164315888804806e-56,1,Rian
2.146575471400139e-59,0.7468795492857975,0.917,0.273,4.5483787663497546e-55,1,Fam155a
3.63588069362515e-59,1.1086900602167908,0.824,0.098,7.70406760172233e-55,1,Tenm1
6.389475602135026e-58,0.7458764601485357,0.8,0.063,1.3538659853363907e-53,1,9530059O14Rik
3.4845507567187973e-57,0.9442514096197525,0.832,0.122,7.383414598411459e-53,1,Cntn4
1.131637366477204e-56,0.755487172122798,0.874,0.22,2.3978264158285477e-52,1,Snhg14
1.2592832633222057e-56,0.6456750734660004,0.893,0.195,2.6682953066534217e-52,1,Cadps
1.3011183522728835e-56,0.7690919077147558,0.885,0.239,2.756939676631013e-52,1,Ahi1
3.326320416266732e-56,0.8533353876946744,0.852,0.122,7.048140330027578e-52,1,Celf4
6.687741141210272e-56,0.6979741530179624,0.84,0.127,1.4170654704110446e-51,1,Pfkp
1.2604414897281547e-55,0.9755301716349478,0.834,0.132,2.670749472584987e-51,1,Syt1
4.645494814320524e-55,0.7966965976294442,0.834,0.127,9.843338962063759e-51,1,March1
1.267210496352523e-54,0.7136059637011161,0.826,0.112,2.6850923207213613e-50,1,Myt1l
2.4177559674508724e-54,0.7751886185905007,0.792,0.068,5.122983119431653e-50,1,A230006K03Rik
4.0250316887800225e-52,0.7126286939713811,0.915,0.322,8.52863964535599e-48,1,Dpp6
1.6899313929976883e-51,0.8489373428156256,0.943,0.551,3.5807956286228016e-47,1,Ptprd
1.102710293518128e-50,0.9552951536821694,0.8,0.122,2.3365328409355616e-46,1,Cntnap5a
1.4833145670835438e-50,0.8260446273453966,0.854,0.171,3.1429952361933208e-46,1,Lingo2
2.287718229996991e-50,1.0418242680075647,0.818,0.132,4.847446157540624e-46,1,Cntn5
3.6315853683906497e-50,0.6558009681333148,0.907,0.346,7.694966237082947e-46,1,Fgf12
1.0220635117758904e-49,0.6838093053396046,0.826,0.132,2.165650375101934e-45,1,Ppfia2
1.1510696658794665e-49,0.5649014577472389,0.919,0.288,2.4390015150320013e-45,1,Gria2
3.006501648927574e-48,0.6140115043925551,0.864,0.224,6.370476343912637e-44,1,Ptprn2
5.4713953086425696e-48,0.7926798597689009,0.875,0.229,1.159333951948274e-43,1,Nkain2
2.366225610745572e-46,0.6957785089395798,0.814,0.132,5.013795446608793e-42,1,Gabrb3
1.2797961864556638e-45,0.53898831656973,0.927,0.376,2.711760139480906e-41,1,Gria4
1.8706425815299518e-45,0.5859583546929638,0.763,0.078,3.963704566003815e-41,1,Elavl3
6.605647498368891e-45,0.6495911662201646,0.783,0.093,1.3996706484293844e-40,1,Usp29
7.338677653411298e-45,0.5814228321230658,0.889,0.244,1.5549924079813201e-40,1,Astn2
8.048380951360656e-45,0.6361764459647433,0.891,0.322,1.7053714397838093e-40,1,Ccser1
8.124351751884732e-45,0.5486475918514058,0.911,0.376,1.7214688927068557e-40,1,Cacna1a
8.893275474703175e-45,0.7671281148517503,0.777,0.102,1.8843961403348557e-40,1,Hs3st5
2.1944076163227143e-44,0.568649904442327,0.777,0.107,4.649730298226199e-40,1,Cacna1b
2.4269246618174074e-44,0.718560264406645,0.895,0.307,5.142410665924905e-40,1,Grik2
1.517203490416159e-43,0.7586792403005691,0.789,0.127,3.214802475842799e-39,1,Dpp10
2.0720932607992284e-43,0.5438361365493032,0.874,0.21,4.390558410307485e-39,1,Cntn1
6.267327790310259e-43,0.7245726968493016,0.785,0.117,1.327984085488841e-38,1,Grik1
6.470295161972169e-43,0.6429497064714997,0.885,0.234,1.3709908418702827e-38,1,Ralyl
1.2773224974507935e-42,0.7812241706715897,0.82,0.2,2.7065186398484864e-38,1,Asic2
3.463385823647986e-42,0.6132369236975669,0.836,0.171,7.338568221727717e-38,1,Sntg1
4.459595005455848e-42,1.0718003563764367,0.794,0.18,9.449435857060396e-38,1,Ntng1
6.8587663178946e-42,0.5561181634283896,0.866,0.259,1.453303995098687e-37,1,Kcnb2
