p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
4.32577885119014e-16,0.3685349735708422,0.591,0.072,9.165892807786787e-12,6,Rxfp1
4.026635837082674e-15,0.34308084470377403,0.568,0.089,8.532038675194479e-11,6,Cd247
1.25368790447303e-13,0.566552381076848,0.864,0.484,2.656439300787903e-9,6,Ntng1
1.2688187845807917e-13,0.4659154723321044,0.773,0.303,2.6885001226482395e-9,6,Cpne7
2.589773336731157e-13,0.42858880495705254,0.841,0.422,5.4874707231996485e-9,6,Lef1
1.4139829331230754e-12,0.3296111324189544,0.682,0.195,2.9960884369944845e-8,6,Cpne9
2.312443692740245e-12,0.47371840469963167,0.864,0.389,4.8998369405473046e-8,6,Epha4
2.593738865755424e-12,0.5084116585193714,0.795,0.379,5.495873282649168e-8,6,Pcsk2
4.1916347253851534e-12,0.5225962452069357,0.727,0.292,8.881654819618602e-8,6,Stxbp6
7.65920567013925e-12,0.4040009857504905,0.864,0.429,1.6229090894458056e-7,6,Camk4
4.4910403672959246e-11,0.5366819229186512,0.886,0.551,9.516065434263334e-7,6,Cntnap2
1.5848532741056413e-10,0.5887299040453616,0.75,0.316,3.358145602502443e-6,6,Adarb2
1.7447298223100479e-10,0.4997252883199996,0.795,0.392,3.6969080204927606e-6,6,Tafa1
1.9484738543500528e-10,0.3047271912899195,0.864,0.356,4.128621249982327e-6,6,Foxp2
2.730485062091309e-10,0.38940728974157013,0.864,0.542,5.7856247980652746e-6,6,Pfkp
3.279611486106438e-10,0.41603286043851906,0.909,0.654,6.9491687779109314e-6,6,Robo1
1.2969918086736327e-9,0.3183912011250506,0.886,0.398,2.7481959433985604e-5,6,Nxph1
2.0468282710381357e-9,0.3658644247987162,0.75,0.389,4.337024423502706e-5,6,Kcnab1
2.4938274953833647e-9,0.47327160759431264,0.818,0.624,5.2841710799678113e-5,6,Rnf220
3.6840129754186966e-9,0.47025332509162254,0.886,0.57,7.806055093614677e-5,6,Mgat4c
4.514616177107464e-9,0.39573869368919956,0.841,0.39,9.566020217673006e-5,6,Tmem163
4.647434411851804e-9,0.34916501892784546,0.795,0.386,9.847448775272788e-5,6,Kitl
5.993548190018919e-9,0.21376218828987956,0.364,0.051,1.2699729259831087e-4,6,Pth2r
7.531842148678241e-9,0.3776185560978904,0.818,0.442,1.5959220328834326e-4,6,Nrep
7.622798449414347e-9,0.3816155301001562,0.773,0.386,1.615194763446406e-4,6,Vav3
1.1240709188236586e-8,0.3010395717531177,0.705,0.273,2.3817938698954502e-4,6,Usp43
1.236194634914204e-8,0.34307709765707484,0.886,0.613,2.619372811919707e-4,6,Cacnb4
1.39388802570774e-8,0.4078876224887378,0.841,0.464,2.95350933767213e-4,6,Arpp21
1.4461625795928512e-8,0.3948286792565945,0.841,0.568,3.0642738898992926e-4,6,Lrrc7
1.44902725089534e-8,0.24566548076904043,0.818,0.453,3.070343841922136e-4,6,Ccdc136
2.2429251723113998e-8,0.41877081835869845,0.864,0.556,4.752534147610625e-4,6,Syt1
