p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
4.038905174731214e-64,0.7242853692660869,0.94,0.44,8.55803617473797e-60,1,Tenm2
1.934928507048057e-55,0.5139852417355328,0.865,0.347,4.099920013584128e-51,1,Khdrbs2
3.2406668610099926e-55,0.6240539105489583,0.84,0.312,6.866649011794073e-51,1,Gm20754
3.004748218206402e-53,0.501805975689696,0.915,0.461,6.366760999557545e-49,1,Sntg1
2.443613344067857e-52,0.7640262707165033,0.95,0.664,5.177772314745382e-48,1,Kcnip4
4.348968210580337e-47,0.374345124812854,0.945,0.459,9.215028741398676e-43,1,Nrg3
6.277993945650298e-46,0.696460644381128,0.855,0.418,1.3302441371438417e-41,1,Brinp3
6.605690891995593e-46,0.6158324139930642,0.81,0.401,1.3996798431049464e-41,1,Kcnq5
1.9402803918095144e-45,0.5455645455216885,0.945,0.556,4.11126012220518e-41,1,Opcml
3.5128538990908476e-45,0.5753793239896257,0.73,0.222,7.443386126783596e-41,1,Tafa2
9.472831061679708e-43,0.6258743072228056,0.84,0.433,2.0071981736593133e-38,1,Cntn5
5.357897960307465e-42,0.4905154283881601,0.795,0.263,1.1352849988095487e-37,1,Pcsk2
9.604215377589622e-42,0.31333370534912286,0.955,0.442,2.035037196357465e-37,1,Rims1
1.0098821784928984e-39,0.4693778210518469,0.675,0.177,2.1398393480086026e-35,1,Gm26871
8.351980380990561e-39,0.3927171058023541,0.91,0.416,1.76970112292809e-34,1,Cntn4
8.989124912482241e-38,0.61182049359857,0.89,0.444,1.904705677705862e-33,1,Lrrtm4
1.2965036654642063e-37,0.2965487753684075,0.95,0.543,2.7471616167521068e-33,1,Erc2
2.1083492363523898e-36,0.4042045146294302,0.85,0.381,4.4673811969070785e-32,1,March1
1.1738180457417432e-35,0.501983781089798,0.795,0.388,2.4872030571221796e-31,1,Gria1
5.781966272197072e-35,0.45516241741934466,0.7,0.207,1.2251408334158376e-30,1,Sorcs3
7.331543435621398e-35,0.393811205480911,0.87,0.44,1.553480738573818e-30,1,Kcnb2
1.7183420793952397e-34,0.3178590351150312,0.97,0.739,3.640995032030573e-30,1,Macrod2
3.0834460302710483e-34,0.3726395070946791,0.81,0.362,6.533513793541324e-30,1,A230006K03Rik
2.3998189868443075e-33,0.38084801001860435,0.895,0.429,5.084976451224403e-29,1,Dscam
1.3399180862452924e-32,0.549845397805127,0.805,0.446,2.83915243294515e-28,1,Dcc
6.438542029273277e-32,0.3161659731545301,0.92,0.435,1.3642626705827145e-27,1,Cntnap2
9.192170161870133e-32,0.48353793807975737,0.7,0.321,1.9477289355986624e-27,1,Prr16
9.799454151706455e-32,0.40073981219308563,0.66,0.207,2.0764063402050805e-27,1,Stxbp5l
2.489459158702485e-31,0.4919916371857715,0.67,0.244,5.274915011374696e-27,1,4930509J09Rik
3.2793890666748253e-31,0.3054831319149056,0.89,0.444,6.948697493377288e-27,1,Xkr4
3.7568508569557707e-31,0.3273573974099641,0.655,0.263,7.960391280803583e-27,1,Trank1
4.073895199829711e-31,0.2991132640944405,0.845,0.433,8.632176538919174e-27,1,Gabrb3
3.7777904550107155e-30,0.34447675406199435,0.8,0.336,8.004760195122205e-26,1,Plppr1
4.471463627968977e-30,0.401245771102006,0.565,0.17,9.474584281303465e-26,1,Dlgap2
1.0611999334972006e-29,0.2554942480353658,0.92,0.511,2.2485765390872184e-25,1,Tmem178b
1.3136691215773775e-29,0.3528929964536275,0.79,0.409,2.7835335017103052e-25,1,Usp29
4.733398691900625e-29,0.3030882538955494,0.92,0.603,1.0029598488268235e-24,1,Cadps
2.294046332610666e-28,0.436136956287857,0.85,0.61,4.8608547741687395e-24,1,Nkain2
6.8630554183187535e-28,0.35553239815088056,0.84,0.425,1.4542128125875606e-23,1,Celf4
7.604316202086459e-28,0.2583909006953402,0.905,0.453,1.6112785600600996e-23,1,Snhg11
1.4526860808635056e-27,0.3489352704871348,0.875,0.537,3.078096536741682e-23,1,Ntrk3
2.019849418596881e-27,0.33887791718287263,0.7,0.341,4.279858933064931e-23,1,Nyap2
2.1988162362027752e-27,0.2532996815636168,0.9,0.481,4.65907172289006e-23,1,Snhg14
2.5678770801025815e-27,0.3285880699355248,0.89,0.595,5.44107474502936e-23,1,Grid1
1.0896925319220474e-26,0.5953478644526287,0.73,0.291,2.3089495058896265e-22,1,Pcdh15
2.628220246692669e-26,0.29334406820825043,0.96,0.694,5.568935880717096e-22,1,Ptprd
3.4068326891479064e-26,0.294728431535583,0.695,0.334,7.218737785035499e-22,1,Rimbp2
4.274644703919958e-26,0.2818561617626068,0.84,0.425,9.057544663135999e-22,1,Miat
6.107076833337266e-26,0.5813549181772693,0.365,0.069,1.2940285102158332e-21,1,Npsr1
6.862405694805193e-26,0.3702736848226331,0.78,0.39,1.4540751426722722e-21,1,Cntn6
8.216878430922705e-26,0.5315668281991133,0.805,0.532,1.741074370728212e-21,1,Zfp804b
9.215162521686507e-26,0.26322348874292445,0.875,0.427,1.952600786720154e-21,1,Lrfn5
2.624431803706015e-25,0.28125468372508733,0.965,0.731,5.5609085488726745e-21,1,Mdga2
2.772291186220054e-25,0.2528609472972818,0.93,0.565,5.874207794481672e-21,1,Fgf12
5.023658502444177e-25,0.3915150537123615,0.885,0.608,1.0644630000828966e-20,1,Dab1
6.898424644271313e-25,0.32761114062259306,0.43,0.097,1.4617071978746484e-20,1,Dgkg
9.13577865622966e-25,0.2748839972939353,0.825,0.418,1.9357801394685027e-20,1,Lingo2
1.1595247955698396e-24,0.23327048675010675,0.985,0.754,2.456917089332933e-20,1,Ctnna2
1.1613887572968349e-24,0.3721965466064524,0.915,0.597,2.4608666378362634e-20,1,Robo1
1.161810491528031e-24,0.23904622511269324,0.855,0.438,2.461760250498745e-20,1,Otud7a
1.7716744036903146e-24,0.28413495096437064,0.8,0.461,3.7540008939794076e-20,1,Samd12
3.584482486269788e-24,0.3047804397836499,0.825,0.425,7.595159940157053e-20,1,Brinp1
3.930549383635317e-24,0.20521107746615708,0.965,0.662,8.328441088984874e-20,1,Anks1b
5.715954843953675e-24,0.2697280719219953,0.96,0.737,1.2111536718853441e-19,1,Rims2
9.490029185328774e-24,0.2940651282781569,0.835,0.552,2.0108422840793139e-19,1,Cacna1e
1.574017495263278e-23,0.3215165762541702,0.67,0.302,3.33518567071336e-19,1,Kcnj6
1.8809993853848143e-23,0.23223709931677677,0.645,0.28,3.985649597691883e-19,1,Olfm2
4.545463023405692e-23,0.24482836298228228,0.645,0.265,9.63138160029432e-19,1,Ptpn5
5.2372707871444043e-23,0.2851078043816113,0.98,0.851,1.1097253070880279e-18,1,Celf2
6.139964966771712e-23,0.3191154711052471,0.76,0.414,1.3009971768092582e-18,1,Nkain3
