"gene","vglut2_clusters","galr1"
"Xkr4",0.7987804878048781,0.8888888888888888
"Gm1992",0.47764227642276424,0.7777777777777778
"Gm19938",0.3252032520325203,0.5555555555555556
"Gm37381",0.0020325203252032522,0
"Rp1",0.026422764227642278,0.1111111111111111
"Sox17",0.0020325203252032522,0
"Mrpl15",0.07520325203252033,0.2222222222222222
"Lypla1",0.14227642276422764,0.3333333333333333
"Tcea1",0.30691056910569103,0.3333333333333333
"Rgs20",0.4613821138211382,0.7777777777777778
"Gm16041",0.008130081300813009,0.1111111111111111
"Atp6v1h",0.36585365853658536,0.6666666666666666
"Oprk1",0.04065040650406504,0.2222222222222222
"Rb1cc1",0.5447154471544715,0.8888888888888888
"4732440D04Rik",0.0975609756097561,0.1111111111111111
"St18",0.08333333333333333,0.3333333333333333
"Pcmtd1",0.4166666666666667,0.4444444444444444
"Gm26901",0.19715447154471544,0.3333333333333333
"Sntg1",0.782520325203252,0.8888888888888888
"Rrs1",0.032520325203252036,0
"Adhfe1",0.08943089430894309,0.1111111111111111
"2610203C22Rik",0.11382113821138211,0.2222222222222222
"Vxn",0.08536585365853659,0.1111111111111111
"Mybl1",0.036585365853658534,0.1111111111111111
"Vcpip1",0.15853658536585366,0.2222222222222222
"1700034P13Rik",0.04878048780487805,0
"Sgk3",0.11382113821138211,0.1111111111111111
"Mcmdc2",0.11788617886178862,0.3333333333333333
"Snhg6",0.0508130081300813,0.1111111111111111
"Tcf24",0.0040650406504065045,0
"Ppp1r42",0.01016260162601626,0
"Gm15818",0.024390243902439025,0.1111111111111111
"Cops5",0.20528455284552846,0.5555555555555556
"Cspp1",0.7073170731707317,0.8888888888888888
"Arfgef1",0.49796747967479676,0.6666666666666666
"Cpa6",0.09146341463414634,0
"Prex2",0.13414634146341464,0
"A830018L16Rik",0.5142276422764228,1
"Sulf1",0.24390243902439024,0.3333333333333333
"Slco5a1",0.17479674796747968,0.5555555555555556
"Ncoa2",0.693089430894309,0.7777777777777778
"Gm29570",0.008130081300813009,0
"Tram1",0.1483739837398374,0.2222222222222222
"Lactb2",0.13008130081300814,0.2222222222222222
"Eya1",0.07520325203252033,0
"Gm9947",0.03861788617886179,0.1111111111111111
"Msc",0.0020325203252032522,0
"Kcnb2",0.7804878048780488,0.8888888888888888
"Terf1",0.22764227642276422,0.5555555555555556
"Sbspon",0.04065040650406504,0
"4930444P10Rik",0.07113821138211382,0
"Rpl7",0.0975609756097561,0.3333333333333333
"Rdh10",0.10772357723577236,0.1111111111111111
"Gm28095",0.0508130081300813,0
"Stau2",0.7296747967479674,0.8888888888888888
"Gm7568",0.07113821138211382,0
"Ube2w",0.40040650406504064,0.6666666666666666
"Eloc",0.13211382113821138,0.3333333333333333
"Tmem70",0.06504065040650407,0
"Ly96",0.02032520325203252,0
"Gm28376",0.12398373983739837,0.1111111111111111
"Jph1",0.07113821138211382,0
"Gdap1",0.25,0.5555555555555556
"Pi15",0.018292682926829267,0
"Gm28154",0.06504065040650407,0.1111111111111111
"Gm16070",0.16260162601626016,0.2222222222222222
"Crispld1",0.1016260162601626,0
"Gm28153",0.08130081300813008,0.1111111111111111
"Gm28756",0.10772357723577236,0.5555555555555556
"Tfap2d",0.04065040650406504,0
"Tfap2b",0.024390243902439025,0
"Pkhd1",0.026422764227642278,0.1111111111111111
"Gm28653",0.0020325203252032522,0
"Mcm3",0.006097560975609756,0
"6720483E21Rik",0.0040650406504065045,0
"Paqr8",0.3008130081300813,0.5555555555555556
"Efhc1",0.008130081300813009,0
"Tram2",0.036585365853658534,0
"Tmem14a",0.03048780487804878,0.1111111111111111
"Gsta3",0.008130081300813009,0
"Gm28836",0.016260162601626018,0
"Kcnq5",0.6402439024390244,0.7777777777777778
"Rims1",0.7865853658536586,0.8888888888888888
"Gm29506",0.0020325203252032522,0
"Gm29107",0.0040650406504065045,0
"Ogfrl1",0.21747967479674796,0.5555555555555556
"Gm28822",0.03048780487804878,0.2222222222222222
"B3gat2",0.3800813008130081,0.8888888888888888
"Smap1",0.47764227642276424,0.7777777777777778
"Sdhaf4",0.022357723577235773,0.2222222222222222
"Fam135a",0.4634146341463415,0.6666666666666666
"Col9a1",0.0508130081300813,0.1111111111111111
"Col19a1",0.09349593495934959,0.4444444444444444
"Lmbrd1",0.3678861788617886,0.5555555555555556
"Adgrb3",0.9654471544715447,1
"Phf3",0.4654471544715447,0.8888888888888888
"4931428L18Rik",0.008130081300813009,0
"Khdrbs2",0.6829268292682927,0.8888888888888888
"Gm5415",0.016260162601626018,0
"Prim2",0.22764227642276422,0.5555555555555556
"Rab23",0.14634146341463414,0.2222222222222222
"Bag2",0.056910569105691054,0.1111111111111111
"Zfp451",0.37398373983739835,0.4444444444444444
"Bend6",0.40447154471544716,0.7777777777777778
"Dst",0.8536585365853658,1
"Gm26788",0.08130081300813008,0
"Gm37233",0,0
"Ccdc115",0.026422764227642278,0
"Imp4",0.04878048780487805,0.1111111111111111
"Ptpn18",0.006097560975609756,0
"Gm28417",0.0020325203252032522,0
"Cfc1",0.0040650406504065045,0
"Amer3",0.026422764227642278,0
"Arhgef4",0.3150406504065041,0.3333333333333333
"Gm38336",0.014227642276422764,0.1111111111111111
"Fam168b",0.32926829268292684,0.4444444444444444
"Plekhb2",0.18902439024390244,0.2222222222222222
"Hs6st1",0.2703252032520325,0.4444444444444444
"Gm37335",0.0020325203252032522,0
"Gm33280",0.012195121951219513,0
