"gene","vglut2_clusters","galr1"
"Alcam",0.5467479674796748,0.7777777777777778
"Ank3",0.8577235772357723,0.8888888888888888
"Apbb1",0.23577235772357724,0.3333333333333333
"Apbb2",0.725609756097561,1
"Arx",0.008130081300813009,0
"Neurog2",0,0
"Bdnf",0.10365853658536585,0
"Bmp7",0.04878048780487805,0.1111111111111111
"Bsg",0.2032520325203252,0.4444444444444444
"Cdh4",0.5813008130081301,0.7777777777777778
"Cdk5r1",0.1524390243902439,0.2222222222222222
"Chl1",0.6951219512195121,0.8888888888888888
"Cntn1",0.806910569105691,1
"Crmp1",0.5630081300813008,0.6666666666666666
"Dpysl2",0.6463414634146342,0.7777777777777778
"Csf1r",0.024390243902439025,0
"Dag1",0.3130081300813008,0.5555555555555556
"Dcc",0.75,1
"Dlx5",0,0
"Dscam",0.8252032520325203,0.8888888888888888
"Dvl1",0.34552845528455284,0.2222222222222222
"Edn3",0.0020325203252032522,0
"Ednra",0.028455284552845527,0
"Efna1",0.0040650406504065045,0
"Efna2",0.028455284552845527,0
"Efna3",0.07113821138211382,0.1111111111111111
"Efna4",0,0
"Efna5",0.5447154471544715,0.6666666666666666
"Efnb1",0.014227642276422764,0
"Efnb2",0.16869918699186992,0.1111111111111111
"Efnb3",0.13617886178861788,0.4444444444444444
"Emb",0.16056910569105692,0.5555555555555556
"Enah",0.7723577235772358,0.8888888888888888
"Epha3",0.45934959349593496,0.5555555555555556
"Epha4",0.4715447154471545,0.6666666666666666
"Epha5",0.6971544715447154,0.8888888888888888
"Epha6",0.6605691056910569,0.8888888888888888
"Epha7",0.3089430894308943,0.4444444444444444
"Epha8",0.15447154471544716,0.4444444444444444
"Ephb2",0.5813008130081301,0.6666666666666666
"Ephb3",0.04878048780487805,0
"Ephb6",0.09349593495934959,0.2222222222222222
"Etv1",0.17276422764227642,0.3333333333333333
"Evl",0.5955284552845529,0.7777777777777778
"Ext1",0.7987804878048781,0.8888888888888888
"Flot1",0.24796747967479674,0.5555555555555556
"Gap43",0.6666666666666666,0.7777777777777778
"Gas1",0.032520325203252036,0.1111111111111111
"Gata3",0.036585365853658534,0
"Gbx2",0.02032520325203252,0.2222222222222222
"Gfra3",0.006097560975609756,0
"Gli2",0.0975609756097561,0.2222222222222222
"Gli3",0.12804878048780488,0.2222222222222222
"Foxd1",0.01016260162601626,0
"Igfals",0.008130081300813009,0
"Kif5a",0.6097560975609756,0.7777777777777778
"Kif5b",0.42886178861788615,0.6666666666666666
"Kif5c",0.6036585365853658,0.8888888888888888
"L1cam",0.4369918699186992,0.7777777777777778
"Lama1",0.08333333333333333,0.1111111111111111
"Lama2",0.18495934959349594,0.2222222222222222
"Lama3",0.13617886178861788,0.1111111111111111
"Lama5",0.018292682926829267,0
"Lamb2",0.016260162601626018,0.1111111111111111
"Lhx2",0.15853658536585366,0.3333333333333333
"Smad4",0.2540650406504065,0.3333333333333333
"Matn2",0.10365853658536585,0.2222222222222222
"Neo1",0.5894308943089431,0.6666666666666666
"Ngfr",0.0040650406504065045,0
"Nog",0.0020325203252032522,0
"Nr4a3",0.014227642276422764,0
"Notch1",0.08943089430894309,0.2222222222222222
"Notch3",0.23983739837398374,0.3333333333333333
"Nrp1",0.3902439024390244,0.6666666666666666
"Nrp2",0.2073170731707317,0.3333333333333333
"Ntf3",0.02032520325203252,0
"Ntn1",0.13211382113821138,0.1111111111111111
"Otx2",0.0508130081300813,0.1111111111111111
"Pax6",0.11585365853658537,0.1111111111111111
"Plxna3",0.20528455284552846,0.3333333333333333
"Ptpro",0.5020325203252033,0.4444444444444444
"Rac1",0.21341463414634146,0.4444444444444444
"Robo3",0.03048780487804878,0.1111111111111111
"Reln",0.23577235772357724,0.1111111111111111
"Robo1",0.8780487804878049,0.7777777777777778
"Ryk",0.3048780487804878,0.2222222222222222
"Scn1b",0.1443089430894309,0.2222222222222222
"Cxcl12",0.014227642276422764,0
"Nptn",0.5975609756097561,0.7777777777777778
"Sema3a",0.10365853658536585,0.1111111111111111
"Sema3b",0,0
"Sema3c",0.2784552845528455,0.5555555555555556
"Sema3e",0.11178861788617886,0
"Sema3f",0.16869918699186992,0.3333333333333333
"Sema4a",0.23170731707317074,0.2222222222222222
"Sema4b",0.1524390243902439,0.3333333333333333
"Sema4c",0.0508130081300813,0
"Sema4d",0.4166666666666667,0.6666666666666666
"Sema4f",0.18902439024390244,0.3333333333333333
"Sema5a",0.4695121951219512,0.7777777777777778
"Sema5b",0.27439024390243905,0.2222222222222222
"Sema6a",0.6524390243902439,0.7777777777777778
"Sema6b",0.15447154471544716,0
"Sema6c",0.08943089430894309,0.4444444444444444
"Sema7a",0.052845528455284556,0
"Shh",0.01016260162601626,0
"Cyfip1",0.40447154471544716,0.5555555555555556
"Slit1",0.34552845528455284,0.6666666666666666
"Slit2",0.28252032520325204,0.2222222222222222
"Slit3",0.3150406504065041,0.3333333333333333
"Cntn2",0.17682926829268292,0.2222222222222222
"Tgfb2",0.12398373983739837,0.3333333333333333
"Nkx2-1",0,0
"Tubb3",0.5264227642276422,0.7777777777777778
"Unc5c",0.7682926829268293,0.8888888888888888
"Vasp",0.10365853658536585,0.1111111111111111
"Wnt3",0.03861788617886179,0
"Wnt3a",0.014227642276422764,0
"Wnt5a",0.022357723577235773,0
"Tenm2",0.8821138211382114,0.8888888888888888
"Sema4g",0.2886178861788618,0.4444444444444444
"Pla2g10",0.012195121951219513,0
"Mapk8ip3",0.47764227642276424,0.4444444444444444
"Arhgef25",0.18699186991869918,0.4444444444444444
"B3gnt2",0.044715447154471545,0
"Cntn6",0.6646341463414634,0.7777777777777778
"Lgi1",0.29471544715447157,0.6666666666666666
"Nectin1",0.3150406504065041,0.4444444444444444
"Myot",0.0020325203252032522,0
"Rtn4r",0.13211382113821138,0.1111111111111111
"Dpysl5",0.5873983739837398,0.7777777777777778
"Mypn",0.01016260162601626,0
"Nexn",0.16463414634146342,0.1111111111111111
"Draxin",0.036585365853658534,0.1111111111111111
"Flrt3",0.4065040650406504,0.7777777777777778
"Fezf1",0,0
"Crppa",0.31097560975609756,0.5555555555555556
"Ttc8",0.3475609756097561,0.6666666666666666
"Cyfip2",0.5101626016260162,0.5555555555555556
"Myh10",0.5752032520325203,0.7777777777777778
"Klf7",0.5975609756097561,0.8888888888888888
"Mycbp2",0.9004065040650406,0.8888888888888888
"Unc5a",0.1524390243902439,0.2222222222222222
"Unc5b",0.08130081300813008,0.1111111111111111
"Lgr4",0.24796747967479674,0.1111111111111111
"Sema3d",0.1524390243902439,0.3333333333333333
"B4gat1",0.0508130081300813,0.1111111111111111
"Lmx1a",0.056910569105691054,0.2222222222222222
"Dscaml1",0.39634146341463417,0.7777777777777778
"Boc",0.08130081300813008,0.1111111111111111
"Usp33",0.4491869918699187,0.6666666666666666
"Unc5d",0.4695121951219512,0.5555555555555556
"Lrtm2",0.054878048780487805,0.1111111111111111
"Sema6d",0.8739837398373984,0.8888888888888888
"Sema3g",0,0
"Trio",0.8252032520325203,1
"Ablim1",0.7520325203252033,0.8888888888888888
"Megf9",0.3638211382113821,0.6666666666666666
"Epha10",0.5833333333333334,0.6666666666666666
"Lmtk2",0.4247967479674797,0.6666666666666666
"Arhgap35",0.540650406504065,0.6666666666666666
"Prtg",0.04065040650406504,0
"Rtn4rl1",0.2703252032520325,0.3333333333333333
"Plxna4",0.6565040650406504,0.8888888888888888
"Cntn5",0.7479674796747967,0.7777777777777778
"Robo2",0.7865853658536586,0.8888888888888888
"Nfasc",0.7215447154471545,0.7777777777777778
"Cntn4",0.7540650406504065,0.7777777777777778
"Ephb1",0.4532520325203252,0.5555555555555556
"Lrtm1",0.1565040650406504,0.3333333333333333
"Nrcam",0.8130081300813008,0.8888888888888888
"Flrt2",0.3313008130081301,0.4444444444444444
"Kalrn",0.8211382113821138,0.8888888888888888
"Actb",0.4268292682926829,0.6666666666666666
"Apc",0.8556910569105691,0.8888888888888888
"Aplp1",0.3394308943089431,0.4444444444444444
"Aplp2",0.4654471544715447,0.7777777777777778
"App",0.7865853658536586,0.8888888888888888
"Bcl2",0.4695121951219512,0.7777777777777778
"Ctnna2",0.9695121951219512,1
"Cck",0.03048780487804878,0
"Cckar",0.0020325203252032522,0
"Cdk5",0.22560975609756098,0.5555555555555556
"Cnp",0.11382113821138211,0.4444444444444444
"Creb1",0.3861788617886179,0.7777777777777778
"Dab1",0.8292682926829268,0.8888888888888888
"Dclk1",0.8516260162601627,1
"Drd2",0.04065040650406504,0.2222222222222222
"Dst",0.8536585365853658,1
"Ptk2",0.717479674796748,0.8888888888888888
"Fgfr2",0.524390243902439,0.6666666666666666
"Igf1r",0.5772357723577236,0.8888888888888888
"Isl1",0.016260162601626018,0.1111111111111111
"Stmn1",0.3902439024390244,0.7777777777777778
"Llgl1",0.11382113821138211,0.2222222222222222
"Rab8a",0.06097560975609756,0
"Map1a",0.29065040650406504,0.6666666666666666
"Map1b",0.8313008130081301,1
"Map2",0.8699186991869918,1
"Mapt",0.8008130081300813,0.8888888888888888
"Ndn",0.11991869918699187,0.2222222222222222
"Nefl",0.21747967479674796,0.4444444444444444
"Ntn3",0.07926829268292683,0.1111111111111111
"Numb",0.31910569105691056,0.5555555555555556
"Numbl",0.14634146341463414,0.2222222222222222
"Pak3",0.7052845528455285,0.8888888888888888
"Pip5k1c",0.24390243902439024,0.3333333333333333
"Pitpna",0.5060975609756098,0.5555555555555556
"Ptpn11",0.3434959349593496,0.4444444444444444
"Ptprz1",0.6463414634146342,0.7777777777777778
"Rab10",0.4695121951219512,0.7777777777777778
"Rab3a",0.13617886178861788,0.2222222222222222
"Smn1",0.09552845528455285,0.2222222222222222
"Snap91",0.6707317073170732,1
"Stk11",0.1402439024390244,0.1111111111111111
"Top2b",0.49390243902439024,0.7777777777777778
"Uchl1",0.31097560975609756,0.3333333333333333
"Ulk1",0.15040650406504066,0.1111111111111111
"Scn11a",0,0
"Vax2",0.006097560975609756,0
"Ulk2",0.573170731707317,1
"Atp8a2",0.6849593495934959,0.7777777777777778
"Cntnap1",0.241869918699187,0.4444444444444444
"Cacna1f",0.016260162601626018,0
"Gsk3b",0.6727642276422764,0.8888888888888888
"Bcl11b",0.08739837398373984,0
"Stk25",0.2540650406504065,0.6666666666666666
"Cntnap2",0.8475609756097561,1
"Dock7",0.6422764227642277,0.7777777777777778
"Nrn1",0.3170731707317073,0.6666666666666666
"Ssna1",0.054878048780487805,0.2222222222222222
"Afg3l2",0.241869918699187,0.3333333333333333
"Metrn",0.042682926829268296,0.1111111111111111
"Tbce",0.3475609756097561,0.5555555555555556
"Shtn1",0.5853658536585366,0.7777777777777778
"Atl1",0.36585365853658536,0.7777777777777778
"Als2",0.3008130081300813,0.3333333333333333
"Slitrk5",0.1402439024390244,0.1111111111111111
"Brsk2",0.3943089430894309,0.6666666666666666
"Slitrk1",0.1483739837398374,0.3333333333333333
"Stxbp5",0.4369918699186992,0.4444444444444444
"Sptbn4",0.6056910569105691,0.8888888888888888
"Ntng1",0.7378048780487805,0.8888888888888888
"Golga2",0.20121951219512196,0.2222222222222222
"Prickle1",0.5914634146341463,0.7777777777777778
"Ntng2",0.07317073170731707,0.1111111111111111
"Spg11",0.2601626016260163,0.6666666666666666
"Rnf165",0.32113821138211385,0.4444444444444444
"Amigo1",0.026422764227642278,0.2222222222222222
"Plppr4",0.3821138211382114,0.4444444444444444
"Npr2",0.13008130081300814,0.2222222222222222
"Picalm",0.4796747967479675,0.5555555555555556
"Slitrk6",0.08739837398373984,0.1111111111111111
"Syngap1",0.28252032520325204,0.5555555555555556
"Slitrk4",0.08333333333333333,0.4444444444444444
"Slitrk2",0.07317073170731707,0.2222222222222222
"Map1s",0.16260162601626016,0.4444444444444444
"Zdhhc17",0.44715447154471544,0.4444444444444444
"Tnn",0.0020325203252032522,0
"Trim46",0.3556910569105691,0.4444444444444444
"Taok2",0.21951219512195122,0.3333333333333333
"Brsk1",0.2621951219512195,0.3333333333333333
"Slitrk3",0.11585365853658537,0.4444444444444444
"Adcy1",0.4410569105691057,0.2222222222222222
"Abl1",0.3719512195121951,0.4444444444444444
"Chrna7",0.1483739837398374,0.2222222222222222
"Ang",0.006097560975609756,0
"Calm1",0.5284552845528455,0.6666666666666666
"Calm2",0.5691056910569106,0.6666666666666666
"Calm3",0.24796747967479674,0.2222222222222222
"Ctnnd1",0.44715447154471544,0.6666666666666666
"Cbl",0.43902439024390244,0.7777777777777778
"Cdk5r2",0.0508130081300813,0.2222222222222222
"Cfl1",0.23170731707317074,0.3333333333333333
"Clu",0.13211382113821138,0.3333333333333333
"Cxcr4",0.0020325203252032522,0
"Cnr1",0.06910569105691057,0
"Copa",0.4247967479674797,0.5555555555555556
"Cpeb1",0.1565040650406504,0.2222222222222222
"Crp",0.016260162601626018,0
"Cttn",0.4268292682926829,0.6666666666666666
"Cxadr",0.2784552845528455,0.3333333333333333
"Dcx",0.38414634146341464,0.5555555555555556
"Dnm2",0.5040650406504065,0.6666666666666666
"Eno1",0.1483739837398374,0.3333333333333333
"Eno2",0.3678861788617886,0.6666666666666666
"Fscn1",0.14634146341463414,0.4444444444444444
"Fgf13",0.6016260162601627,0.7777777777777778
"Fmr1",0.26422764227642276,0.5555555555555556
"Fxr1",0.5040650406504065,0.6666666666666666
"Gria2",0.8902439024390244,0.8888888888888888
"Grin1",0.5752032520325203,0.8888888888888888
"Hap1",0.4654471544715447,0.5555555555555556
"Elavl4",0.4878048780487805,0.6666666666666666
"Itga3",0.22357723577235772,0.2222222222222222
"Itga4",0.032520325203252036,0
"Kif3c",0.3882113821138211,0.3333333333333333
"Klc1",0.5813008130081301,0.7777777777777778
"Marcks",0.3617886178861789,0.6666666666666666
"Ncam1",0.9410569105691057,1
"Ntrk2",0.8353658536585366,1
"Pafah1b1",0.7764227642276422,1
"Pak1",0.4695121951219512,0.6666666666666666
"Psen1",0.26422764227642276,0.2222222222222222
"Psen2",0.08130081300813008,0.1111111111111111
"Ptk2b",0.04878048780487805,0.1111111111111111
"Ptprf",0.45934959349593496,0.7777777777777778
"Rasgrf1",0.45121951219512196,0.5555555555555556
"Stmn2",0.6788617886178862,0.8888888888888888
"Exoc4",0.774390243902439,1
"Ighmbp2",0.11585365853658537,0.4444444444444444
"Snap25",0.6056910569105691,0.6666666666666666
"Snca",0.35365853658536583,0.5555555555555556
"Stim1",0.3394308943089431,0.4444444444444444
"Stx3",0.31097560975609756,0.5555555555555556
"Dynlt1b",0.03048780487804878,0.1111111111111111
"Thy1",0.18495934959349594,0.3333333333333333
"Timp2",0.18292682926829268,0.5555555555555556
"Trpc5",0.3719512195121951,0.7777777777777778
"Tsc2",0.10772357723577236,0.1111111111111111
"Dpysl3",0.6178861788617886,0.8888888888888888
"Usp9x",0.5304878048780488,0.6666666666666666
"Nrsn1",0.18292682926829268,0.2222222222222222
"Zpr1",0.07113821138211382,0.2222222222222222
"Amfr",0.20934959349593496,0.4444444444444444
