p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
1.3350269142342626e-55,0.35385379498333236,0.993,0.724,2.749621432556887e-51,1,Dlg2
9.056757560833374e-52,0.4116475264631737,0.761,0.311,1.8653297872292417e-47,1,Gm26871
1.287186362661938e-50,0.28431731515697933,1,0.888,2.6510890325385275e-46,1,Meg3
1.9350179264365723e-48,0.3038636768664317,0.925,0.548,3.9853629212887644e-44,1,Usp29
3.345742137901967e-48,0.2989572333927939,0.993,0.718,6.890890507222892e-44,1,Snhg11
3.840593946847015e-48,0.3120192271962703,0.978,0.794,7.910087292926112e-44,1,Ahi1
1.0462759457108778e-46,0.3136929118618965,0.668,0.227,2.1549099377861238e-42,1,Stxbp5l
3.451377364675221e-46,0.31167214945867505,0.933,0.572,7.108456820285085e-42,1,A230006K03Rik
7.276164027054824e-46,0.31189146875806495,0.989,0.715,1.4985987430122115e-41,1,Cntnap2
5.0509192095430675e-45,0.3379237872332271,0.646,0.203,1.0402873203974901e-40,1,Dlgap2
2.4798891370300046e-43,0.38990577294956963,0.97,0.69,5.1075796666269976e-39,1,Lrrtm4
1.447156333808127e-42,0.47026394415703954,0.802,0.453,2.980563185111218e-38,1,Cdh18
3.895347678598197e-42,0.3005426740301559,0.545,0.15,8.022858078840846e-38,1,Hcn1
7.285835786364538e-42,0.2790958544691988,0.989,0.731,1.5005907385596403e-37,1,Nrg3
1.4761268681893408e-41,0.35414966677161497,0.94,0.745,3.0402308977227664e-37,1,Dab1
5.120557278933498e-41,0.4291018330531039,0.631,0.253,1.0546299771691432e-36,1,Gm15398
8.850030171596335e-41,0.42015547081862525,0.69,0.297,1.8227522141419813e-36,1,Unc5d
1.635421771317721e-40,0.3539035473001157,0.743,0.289,3.368314680205978e-36,1,Tafa2
2.9296200633309987e-39,0.2530242491415321,0.963,0.632,6.033845482436525e-35,1,Gabrb3
7.170148669866001e-38,0.26947453585535064,0.963,0.634,1.4767638200456017e-33,1,Celf4
2.1527215803667254e-36,0.2811755251888086,0.981,0.745,4.433745366923308e-32,1,Nkain2
2.65200776636529e-36,0.3444275733810911,0.806,0.429,5.462075195605951e-32,1,Gria1
