p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1891320945800041e-85,0.5466089173181421,0.8,0.181,2.4599575640576546e-81,1,Lrig1
1.1930147628082704e-85,0.5546822042857619,0.771,0.154,2.467989639821469e-81,1,Bmpr1b
8.951574049654581e-84,0.8690141015847994,0.876,0.302,1.851812123652043e-79,1,Gm3764
9.517074575336626e-76,0.6000562781318373,0.829,0.226,1.9687972173998876e-71,1,Apoe
3.722702879864645e-75,0.5086505310318639,0.682,0.13,7.70115544757599e-71,1,Pla2g7
2.7674494972594154e-74,0.8040089430298828,0.906,0.421,5.725022774980553e-70,1,Slc4a4
1.3900712608104822e-71,0.43776685622943995,0.7,0.134,2.8756404172386444e-67,1,Egfr
6.365353027519569e-70,0.35019749253782834,0.494,0.053,1.3168005808029732e-65,1,Acsbg1
1.450695591652091e-69,0.5887865122181744,0.994,0.726,3.0010539704506802e-65,1,Qk
1.6310501284277445e-69,0.4369519346309697,0.735,0.173,3.374153400678475e-65,1,Bcan
2.3214348075168075e-69,0.3668776977795138,0.571,0.084,4.80235218631002e-65,1,Etv4
1.005747087369256e-67,0.5877875113813986,0.7,0.176,2.08058899964078e-63,1,Slc6a11
3.564727372264489e-67,0.4221470427478375,0.612,0.102,7.374351515003548e-63,1,Aqp4
2.236485437988467e-64,0.2992263720737466,0.506,0.066,4.6266174255667414e-60,1,Fgfr3
4.0558127054062834e-63,0.5190785531768961,0.794,0.253,8.39025974367398e-59,1,Plpp3
3.542341177868072e-62,0.4176558848242944,0.859,0.279,7.328041194655681e-58,1,Atp1a2
5.694411657937149e-62,0.2607822722192736,0.476,0.058,1.178002939677458e-57,1,Aldh1l1
7.1529462403400435e-62,0.33418455492430915,0.529,0.081,1.4797299887391447e-57,1,Atp13a4
3.9293352071340286e-61,0.7561117737307936,0.953,0.622,8.128615742998165e-57,1,Ptprz1
6.45373795591854e-61,0.561964807128932,0.588,0.108,1.3350847709408683e-56,1,Tnc
1.64098248139804e-60,0.32488018828619014,0.512,0.074,3.394700459268125e-56,1,Hes5
4.5003835376165554e-60,0.42290717536800926,1,0.934,9.309943424267368e-56,1,Son
3.249652703891061e-59,0.6369166012926163,0.847,0.406,6.722556548539437e-55,1,Gm48747
7.510982490344994e-58,0.4171518069145135,0.659,0.156,1.5537969477776688e-53,1,Tnfaip8
1.0634263613138455e-57,0.44929139466673484,0.641,0.154,2.199910113649952e-53,1,Fabp7
2.675236499885073e-57,0.4507573359737832,0.671,0.174,5.534261747312251e-53,1,Palld
3.374864382045659e-57,0.5310370476465256,0.959,0.565,6.9815819471378545e-53,1,Ptn
1.2933987061538603e-56,0.33578563114223847,0.647,0.156,2.6756539034204908e-52,1,Mmd2
2.2071075602412844e-56,0.34665102200188463,0.559,0.106,4.565843409871145e-52,1,Ednrb
2.984693251017822e-56,0.6864371357284478,0.947,0.731,6.174434928380568e-52,1,Npas3
2.5629618537117044e-55,0.5647671043694957,0.847,0.367,5.301999186773403e-51,1,Nhsl1
1.6399050322261925e-54,0.47144532117307325,0.782,0.271,3.3924715401663247e-50,1,Mir9-3hg
2.435631475392787e-54,0.32908913689011404,0.494,0.079,5.038590833145058e-50,1,C030005K06Rik
7.397054927100381e-54,0.2245024169108062,0.388,0.04,1.5302287527692557e-49,1,Dbx2
5.045325541377869e-53,0.5634975017224406,0.871,0.552,1.0437264947448397e-48,1,Trim9
4.9768104048046385e-52,0.6096434719940924,0.894,0.503,1.0295527684419356e-47,1,Wdr17
8.789010035202792e-52,0.29103799241479883,0.453,0.067,1.8181825059824016e-47,1,Gm6145
9.477545793207674e-51,0.4558324668202664,0.747,0.261,1.9606198982408717e-46,1,Cdh20
2.844242996474407e-50,0.3527359256476722,0.635,0.157,5.8838854868066056e-46,1,Slc39a12
3.9725152275109763e-50,0.3424843191482191,0.594,0.141,8.217942251151957e-46,1,Mertk
1.1178198746982556e-49,0.41301835848251667,0.994,0.871,2.3124339747882813e-45,1,Mir99ahg
3.518177044549884e-49,0.5046206624615277,0.941,0.612,7.278052852060346e-45,1,Gpm6b
5.591056004192757e-49,0.381747831888267,0.671,0.213,1.1566217555873557e-44,1,Paqr8
7.55163739435168e-49,0.4178878018433424,0.982,0.578,1.562207227769532e-44,1,Nfia
2.274308872470836e-48,0.39986009164962266,0.659,0.205,4.704862764480418e-44,1,Arhgef26
6.099868132369782e-48,0.21804705390277865,0.371,0.042,1.2618797205433367e-43,1,Egfros
1.8025259383562705e-47,0.5152498980994272,0.841,0.49,3.728885408677617e-43,1,Slc1a2
7.625227716845437e-47,0.43280786638634483,0.947,0.634,1.5774308577838154e-42,1,Trps1
3.87778454937708e-46,0.39116534164593464,0.747,0.284,8.021972897296366e-42,1,Specc1
7.303567818788743e-46,0.3742877084452412,0.682,0.225,1.5108890746728273e-41,1,Prkd1
1.3718368317812621e-45,0.5233220132283618,0.935,0.642,2.837918853905897e-41,1,Grm3
3.591225381771739e-45,0.2577809076140161,0.453,0.081,7.429167947271196e-41,1,Slc7a10
9.25919850863926e-45,0.43041152613902406,0.818,0.376,1.915450395482204e-40,1,Sfxn5
1.3593065824122514e-44,0.4168850089089466,0.8,0.332,2.8119975270362244e-40,1,Slc1a3
2.8698569218235566e-44,0.3597934870724658,0.629,0.18,5.936873014176391e-40,1,Kcnip3
4.535753879630261e-44,0.39846698348809195,0.682,0.246,9.38311405079112e-40,1,Phyhipl
8.121391807089563e-44,0.25317479580938584,0.524,0.113,1.6800723231326178e-39,1,Prrx1
3.6221116700256666e-43,0.3563561653624883,0.924,0.496,7.493062411782097e-39,1,Pard3b
1.1562450867969659e-42,0.3873539027697738,0.765,0.356,2.391924211056883e-38,1,Myo6
1.7104621108774145e-42,0.36086585076256017,0.982,0.722,3.5384329687721077e-38,1,Maml2
6.440663473649382e-42,0.3592631936761182,0.724,0.264,1.3323800527938477e-37,1,Kank1
7.94712720169919e-42,0.2612468705429316,0.541,0.128,1.6440222042155113e-37,1,Hepacam
1.6067134517686225e-41,0.25486095924680735,0.547,0.134,3.3238081176737495e-37,1,Gm33680
4.695915497048136e-41,0.3252528773006543,0.647,0.2,9.714440388743478e-37,1,Rfx4
1.2809151622036722e-40,0.26659540319531205,0.576,0.161,2.6498291960507367e-36,1,Asrgl1
1.284524253005669e-40,0.32601324885955807,0.7,0.262,2.6572953221928277e-36,1,Serpine2
2.4019101992670652e-39,0.6498167968418417,0.9,0.661,4.968831629223778e-35,1,Luzp2
7.067758217657645e-39,0.444982575379225,0.782,0.398,1.4621071424868372e-34,1,Rgs20
7.251475432905585e-39,0.3566546661729582,0.618,0.207,1.5001127228051784e-34,1,Tiam2
1.6636221037311486e-38,0.4288035075652751,0.653,0.242,3.441535045988627e-34,1,Sparcl1
1.7288312689446234e-38,0.3268625117405737,0.553,0.16,3.5764332460657426e-34,1,Prex1
6.711202217110016e-38,0.3718933111505298,0.647,0.259,1.388346402653549e-33,1,Ncan
9.37088302452394e-38,0.3769226936939202,0.894,0.556,1.9385545712832675e-33,1,Dgkb
1.1411985382177433e-37,0.2881443441076584,0.582,0.172,2.3607974160110457e-33,1,Nwd1
1.655669105558679e-37,0.25257958039587614,0.506,0.126,3.425082678669239e-33,1,Acss1
3.146803714850606e-36,0.23950320672835626,0.453,0.104,6.509792844911448e-32,1,Etv5
4.922514145642102e-36,0.31548905755573053,0.835,0.389,1.0183205013089815e-31,1,Dock1
5.516510549916003e-36,0.23780774576702807,0.406,0.081,1.1412005374611236e-31,1,Skap2
1.6499596338650523e-35,0.2924336230717286,0.647,0.22,3.4132714945766337e-31,1,Lama2
5.296418187377358e-35,0.34687725179381623,0.865,0.58,1.095670030422754e-30,1,Hdac8
5.628600361458395e-35,0.25703410145348116,1,1,1.1643885567748982e-30,1,Malat1
1.6216157583239283e-34,0.375810885103418,0.9,0.582,3.35463651924471e-30,1,Nckap5
1.8188333820297631e-34,0.3497854389063595,0.982,0.894,3.762620617404971e-30,1,Nrxn1
6.403089755539717e-34,0.24465721008726413,0.541,0.158,1.3246071777285013e-29,1,Pard3bos1
9.124001340480612e-34,0.354096131040079,0.924,0.764,1.8874821573052242e-29,1,Dtna
1.0504824574816334e-33,0.3178880383942952,0.635,0.229,2.1731330597922548e-29,1,Abca1
1.0787028476389011e-33,0.286736594078916,0.612,0.194,2.2315125809105948e-29,1,Igsf11
1.781374561674899e-33,0.20911241500305633,0.435,0.1,3.6851295557368636e-29,1,Gm40578
3.8191848333746694e-33,0.29817012230646867,0.559,0.182,7.900747664802179e-29,1,Cyp7b1
4.0935184585417784e-33,0.2840097448534187,0.953,0.801,8.468261635185377e-29,1,Zeb1
5.396905255133739e-33,0.3028284539542126,0.565,0.198,1.1164577901295165e-28,1,Rhoq
6.542925258486486e-33,0.3479277090210337,0.8,0.447,1.3535349482230992e-28,1,C130071C03Rik
2.465863615334349e-32,0.321281763023627,0.912,0.678,5.1011320610421685e-28,1,Sash1
3.655871830921817e-32,0.2852372185181015,0.6,0.234,7.562902056627963e-28,1,Ndrg2
3.751298244779519e-32,0.33000187713156315,0.859,0.476,7.760310678975391e-28,1,Nfib
1.7221024525280766e-31,0.21171574771523732,0.418,0.094,3.562513343544832e-27,1,Id3
1.977598352564886e-31,0.31660647768386063,0.982,0.873,4.091057711950979e-27,1,Ntm
2.26399647393509e-31,0.3092105929803475,0.676,0.261,4.683529505629521e-27,1,Plce1
2.348871850679703e-31,0.2524669991805369,0.559,0.171,4.859111197501101e-27,1,Slc7a11
2.6296697914247857e-31,0.2959832440286497,0.8,0.462,5.439997897520454e-27,1,Rrbp1
3.6489317582388688e-31,0.41641130118456504,0.888,0.739,7.548545128268748e-27,1,Cpe
5.1589203240725e-31,0.32753224595902025,0.641,0.282,1.0672258474408781e-26,1,Rgma
5.575777229429643e-31,0.2716020096207979,0.606,0.229,1.1534610354521103e-26,1,Slc6a1
6.421120876372302e-31,0.25280656178229266,0.976,0.668,1.328337275695138e-26,1,Tcf4
6.98338067799766e-31,0.29893616525913674,0.565,0.207,1.444651960857376e-26,1,Itga6
